Plainville,41.677,-72.8423,243,37614.47,137.3
North Kingstown,41.5938,-71.4983,242,29958.81,30.3
Vestal,42.0937,-75.9537,242,23248.8,73.6
Miamisburg,39.639,-84.2547,242,28468.72,86.7
Parma,41.4187,-81.7308,242,31501.84,82.8
Yorkville,43.1101,-75.2944,242,30597.0,48.3
Westmont,41.8104,-87.9614,242,41291.19,39.6
Bridgewater,40.5751,-74.5738,242,30065.89,36.4
Peabody,42.5452,-70.9438,242,43828.95,31.3
Grand Rapids,42.9131,-85.5205,242,44097.76,163.7
Lafayette,40.4054,-86.8642,242,23744.6,60.1
Bourne,41.7267,-70.585,241,30414.52,54.4
Ramsey,41.0582,-74.1217,241,27112.49,27.5
White Plains,41.0345,-73.7838,241,46324.78,59.0
Syracuse,43.0617,-76.0879,241,24963.53,53.5
Barberton,41.0482,-81.6085,241,28287.15,184.8
Huntington Station,40.8348,-73.3794,241,25526.68,61.4
Bristol,41.6969,-72.9076,240,27731.36,60.1
Danvers,42.5546,-70.9639,240,38837.25,89.5
Downingtown,39.9987,-75.7308,240,27048.64,93.3
Valparaiso,41.4619,-87.1031,240,32538.15,98.1
Poughkeepsie,41.7264,-73.8416,239,28036.07,31.4
Tonawanda,43.0091,-78.8224,239,35254.64,95.5
Matteson,41.4994,-87.7441,239,27533.2,45.0
Plainwell,42.4498,-85.6592,239,32308.25,64.6
Lombard,41.8597,-88.0315,239,29694.52,44.5
Indianapolis,39.9268,-86.0995,238,25149.45,90.6
East Brunswick,40.4484,-74.3968,238,35574.21,77.2
Boardman,41.0243,-80.6533,238,25991.95,85.2
Westmont,41.8104,-87.9791,238,53654.58,134.7
Simsbury,41.8514,-72.8131,238,25807.79,36.6
Milford,41.221,-73.0732,238,19609.99,74.1
Putnam,41.9162,-71.9081,238,28414.57,126.0
Pottsville,40.6751,-76.2257,238,28055.29,84.1
Westford,42.5635,-71.4289,237,29047.22,56.6
Bolingbrook,41.683,-88.0713,237,29112.63,46.9
Oswego,43.4628,-76.4728,237,26950.66,70.1
Framingham,42.2977,-71.4173,237,26989.78,78.2
Glen Burnie,39.1692,-76.62,237,23723.82,34.4
Branford,41.2876,-72.8136,237,26906.52,67.2
Johnston,41.8271,-71.5115,237,33931.8,76.0
Fair Lawn,40.9263,-74.097,237,30058.31,35.1
Michigan City,41.6832,-86.894,236,33207.97,140.1
Demotte,41.1904,-87.1986,236,32259.69,89.9
Gurnee,42.3849,-87.9822,236,35129.75,126.9
Sterling Heights,42.5881,-83.0308,236,29479.32,100.3
Yorkville,43.1072,-75.2972,236,32233.86,84.6
Hackensack,40.8866,-74.0397,235,23607.72,36.1
Highland,41.5453,-87.4722,235,25820.74,125.6
Carthage,43.9828,-75.6144,235,36181.13,82.1
Rochester,43.1042,-77.6278,235,28059.71,113.3
Mt Pocono,41.1144,-75.3831,234,36263.58,88.5
Freehold,40.2777,-74.2943,234,45544.87,118.9
Milford,42.1517,-71.4946,233,26232.23,80.7
Ewing,40.2477,-74.7687,233,32599.85,32.7
York,39.9843,-76.7594,233,33035.94,77.4
Waterbury,41.5657,-73.0597,233,23285.97,31.2
Chelmsford,42.6241,-71.363,232,31606.52,256.7
Sharon,42.1356,-71.2221,232,39864.5,28.1
Montgomeryville,40.2272,-75.2289,232,26550.22,145.2
Nanuet,41.0993,-73.998,232,34215.72,76.6
Hornell,42.3661,-77.6787,231,29494.67,59.6
Denville,40.8892,-74.4701,231,30158.4,107.0
Marlborough,42.3508,-71.501,231,29138.03,65.7
Matteson,41.5,-87.7508,231,25433.8,68.5
Harrisburg,40.339,-76.7111,231,26743.97,56.4
Annapolis,38.9797,-76.5482,230,39838.45,149.2
Glastonbury,41.7047,-72.5926,230,42214.66,130.0
Attleboro,41.9137,-71.3591,230,23900.46,48.4
Somersworth,43.2474,-70.9,229,30244.23,92.4
Latham,42.7676,-73.7542,229,27893.47,35.8
West Springfield,42.0959,-72.6091,229,32318.19,54.2
Hackensack,40.8948,-74.0385,229,39822.17,105.9
Hamburg,40.5604,-76.0003,228,26792.74,85.7
East Syracuse,43.0581,-76.0658,228,27666.09,59.7
West Haven,41.3078,-72.9687,228,23571.32,127.7
Westborough,42.2867,-71.595,227,34941.11,29.9
Toms River,39.98,-74.2503,227,30622.94,43.4
Syracuse,43.0573,-76.1829,227,31103.93,40.2
Ramsey,41.0584,-74.1416,227,37096.01,48.4
Exeter,41.3247,-75.8105,226,36092.06,120.5
West Long Branch,40.2943,-74.0312,226,47468.25,105.7
