Egg Harbor City,39.5712,-74.5894,2017-04-01,1,1239.0,Low Demand
Montgomeryville,40.2265,-75.235,2017-04-01,1,1247.0,Low Demand
Barberton,41.0482,-81.6085,2017-04-01,1,1257.0,Low Demand
New Castle,41.0151,-80.4028,2017-04-01,1,1233.0,Low Demand
Huntington,40.8325,-73.3604,2017-04-01,1,1253.0,Low Demand
Pound Ridge,41.2289,-73.5622,2017-04-01,1,1235.0,Low Demand
Holdrege,40.4379,-99.3735,2017-04-01,1,1252.0,Low Demand
Montpelier,44.2417,-72.5404,2017-04-01,1,1251.0,Low Demand
Lowville,43.7819,-75.4886,2017-04-01,1,1245.0,Low Demand
Naperville,41.7669,-88.1864,2017-04-01,1,1241.0,Low Demand
Lowell,42.6273,-71.3499,2017-04-01,1,1238.0,Low Demand
Waterford,42.025,-80.0615,2017-04-01,1,1238.0,Low Demand
Temple Hills,38.8273,-76.9442,2017-04-01,1,1238.0,Low Demand
New Bedford,41.656,-70.9237,2017-04-01,1,1229.0,Low Demand
Warsaw,41.2464,-85.8669,2017-05-01,2,1209.0,Low Demand
East Providence,41.8227,-71.3499,2017-05-01,2,1216.0,Low Demand
Kingston,41.2725,-75.8854,2017-05-01,1,1217.0,Low Demand
Danbury,41.4125,-73.4108,2017-05-01,1,1227.0,Low Demand
North Haven,41.3394,-72.8645,2017-05-01,1,1225.0,Low Demand
Orefield,40.611,-75.6496,2017-05-01,1,1219.0,Low Demand
Rochester,43.3252,-70.9752,2017-05-01,1,1225.0,Low Demand
Westmont,41.8104,-87.9791,2017-05-01,1,1223.0,Low Demand
Herscher,41.049,-88.0977,2017-05-01,1,1197.0,Low Demand
Lowville,43.7819,-75.4886,2017-05-01,1,1228.0,Low Demand
Abington,42.0994,-70.9612,2017-05-01,1,1204.0,Low Demand
Barberton,41.0482,-81.6085,2017-05-01,1,1227.0,Low Demand
Bensenville,41.9785,-87.9456,2017-05-01,1,1224.0,Low Demand
Bartonsville,41.0062,-75.2827,2017-06-01,2,1169.0,Low Demand
Belle Mead,40.4695,-74.6603,2017-06-01,1,1186.0,Low Demand
Cranberry,41.3498,-79.7127,2017-06-01,1,1188.0,Low Demand
Waterville,44.5742,-69.6147,2017-06-01,1,1170.0,Low Demand
Greenland,43.0353,-70.853,2017-06-01,1,1174.0,Low Demand
Bridgeview,41.7592,-87.8002,2017-06-01,1,1173.0,Low Demand
Denville,40.8892,-74.4701,2017-06-01,1,1175.0,Low Demand
Delphi,40.5869,-86.6863,2017-06-01,1,1180.0,Low Demand
Nanuet,41.1017,-73.9974,2017-06-01,1,1172.0,Low Demand
New Milford,41.5233,-73.4236,2017-06-01,1,1194.0,Low Demand
Goffstown,43.0119,-71.5477,2017-06-01,1,1194.0,Low Demand
Fairfield,39.3516,-84.5428,2017-06-01,1,1188.0,Low Demand
Cherry Hill,39.9236,-75.044,2017-06-01,1,1169.0,Low Demand
Wills Point,32.7075,-96.0063,2017-06-01,1,1198.0,Low Demand
